deviceisbot,screensize,published,published_dt,sessionid,environmentid,type,devicetype,useragent,objecttype,eventname,event_id
true,"1024x768","2021-12-20T00:14:39+00:00",2021-12-20 00:14:39.000,,sdrn:schibsted:environment:c396858f-0638-4d0f-8d5b-416c2c1f449f,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,"37b39625-7b48-4a6d-af0f-def8d2daa5fb"
true,"1024x768","2021-12-20T00:14:51+00:00",2021-12-20 00:14:51.000,,sdrn:schibsted:environment:276bd7c3-8646-4b50-add8-3ba9ff016d41,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,"9f3b84a0-743c-44fc-b212-899ef3e038c5"
true,"1024x768","2021-12-20T00:14:52+00:00",2021-12-20 00:14:52.000,,sdrn:schibsted:environment:cff2bd48-844a-4099-b6a8-12cf08f3cad2,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,"945d61d4-0b96-4b71-943e-740f36476ec3"
true,"1024x768","2021-12-20T00:14:52+00:00",2021-12-20 00:14:52.000,,sdrn:schibsted:environment:a4b21c53-acac-4296-8eec-3761b33ae3f4,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,c58eb5f0-6e41-47bb-8a24-ae1749088c6a
true,"1024x768","2021-12-20T00:14:52+00:00",2021-12-20 00:14:52.000,,sdrn:schibsted:environment:200bf4d2-baaf-4c20-afbb-f79c3fcca095,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,b22125ac-6122-470b-8b36-6a84a53e0d03
true,"1024x768","2021-12-20T00:14:53+00:00",2021-12-20 00:14:53.000,,sdrn:schibsted:environment:c8077c74-33ce-4c0b-a59f-979558cd8ce6,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,"93b30c39-fc22-4100-b045-eb9d3f5a6ed4"
true,"1024x768","2021-12-20T00:14:54+00:00",2021-12-20 00:14:54.000,,sdrn:schibsted:environment:c8077c74-33ce-4c0b-a59f-979558cd8ce6,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,"93b30c39-fc22-4100-b045-eb9d3f5a6ed4"
true,"1024x768","2021-12-20T00:14:59+00:00",2021-12-20 00:14:59.000,,sdrn:schibsted:environment:b50a36d8-4498-4d5c-8c79-6214028aaf82,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,b5ce09d9-062b-491c-8790-1b16779bd425
true,"1024x768","2021-12-20T00:15:21+00:00",2021-12-20 00:15:21.000,,sdrn:schibsted:environment:7d7b0154-c930-42f3-bd90-a5184b53f4d6,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,"5af1ebe3-9987-4831-acfc-0348ee2702e8"
true,"360x640","2021-12-20T00:23:38+00:00",2021-12-20 00:23:38.000,,sdrn:schibsted:environment:9bc9e5fb-f34f-4358-85fa-33182ca5029a,View,mobile,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4590.2 Mobile Safari/537.36 Chrome-Lighthouse,Form,Ad Insertion Form Viewed,c2c0545a-a3ef-403d-9b29-0b0762a8cb5e
true,"360x640","2021-12-20T00:24:37+00:00",2021-12-20 00:24:37.000,,sdrn:schibsted:environment:41f2e5d3-6048-480f-b1d8-506de7ae8e35,View,mobile,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4590.2 Mobile Safari/537.36 Chrome-Lighthouse,Form,Ad Insertion Form Viewed,"273c6099-2f04-4858-b222-2b271b752943"
true,"360x640","2021-12-20T00:25:21+00:00",2021-12-20 00:25:21.000,,sdrn:schibsted:environment:f18fef9b-4bce-4482-919a-675a643fa149,View,mobile,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4590.2 Mobile Safari/537.36 Chrome-Lighthouse,Form,Ad Insertion Form Viewed,"580143e2-7157-443d-8241-fd7a9ad216af"
true,"360x640","2021-12-20T00:56:37+00:00",2021-12-20 00:56:37.000,,sdrn:schibsted:environment:25b21071-ee00-4257-95d6-cf668c61c6c0,View,mobile,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4590.2 Mobile Safari/537.36 Chrome-Lighthouse,Form,Ad Insertion Form Viewed,"9edb09a4-b854-471a-81ab-7b268fc452a8"
true,"360x640","2021-12-20T00:57:33+00:00",2021-12-20 00:57:33.000,,sdrn:schibsted:environment:6d74ec0f-eba6-4b9a-a85d-b4541e5722aa,View,mobile,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4590.2 Mobile Safari/537.36 Chrome-Lighthouse,Form,Ad Insertion Form Viewed,b2049299-0245-4bbc-8489-b80b04534112
true,"360x640","2021-12-20T00:58:19+00:00",2021-12-20 00:58:19.000,,sdrn:schibsted:environment:cb956213-5f44-4701-9798-829cfdbc6910,View,mobile,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4590.2 Mobile Safari/537.36 Chrome-Lighthouse,Form,Ad Insertion Form Viewed,"4cd29706-30a8-4a4f-a7f8-6b5b71af6d93"
true,"1024x768","2021-12-20T01:15:59+00:00",2021-12-20 01:15:59.000,,sdrn:schibsted:environment:63767ec8-16cb-43ee-969f-13c138a029b8,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,d33c2550-94ac-4a3c-b1a1-caed0fbed72d
true,"1024x768","2021-12-20T01:16:00+00:00",2021-12-20 01:16:00.000,,sdrn:schibsted:environment:5bbc4751-e8f5-478e-a59e-1246d50eea3c,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,"40dc566c-f36e-4709-91d6-69c126324dae"
true,"1024x768","2021-12-20T01:16:00+00:00",2021-12-20 01:16:00.000,,sdrn:schibsted:environment:55d39cf1-297d-4369-8c61-54d7fa087261,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,"27450acb-c704-49c3-be5a-f7024855c61a"
true,"1024x768","2021-12-20T01:16:00+00:00",2021-12-20 01:16:00.000,,sdrn:schibsted:environment:2c614c1b-8f0e-4d14-b9ea-d63750187f71,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,"5ae49649-984d-4a88-a3b3-703cd9eab406"
true,"1024x768","2021-12-20T01:16:00+00:00",2021-12-20 01:16:00.000,,sdrn:schibsted:environment:7f40d6b3-609c-4789-b11b-d55b1b8e3761,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,"48811fa7-0802-4721-9b86-47fc6a61efc5"
true,"1024x768","2021-12-20T01:16:00+00:00",2021-12-20 01:16:00.000,,sdrn:schibsted:environment:a2550b52-fc0c-4cb7-99e5-fd7124cf1dd4,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,da480d5b-c435-47ef-b945-3175cb6b06ea
true,"1024x768","2021-12-20T01:16:00+00:00",2021-12-20 01:16:00.000,,sdrn:schibsted:environment:f5941521-21e3-4548-acb0-f613f7340859,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,dc3bd513-6740-48ff-9493-c4c84664c2f6
true,"1024x768","2021-12-20T01:16:01+00:00",2021-12-20 01:16:01.000,,sdrn:schibsted:environment:123b0eb5-807f-4997-bdbc-13ebd049a1ba,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,c23a1b4f-27c7-4610-8fcd-cfa538c1a9a1
true,"1024x768","2021-12-20T01:16:01+00:00",2021-12-20 01:16:01.000,,sdrn:schibsted:environment:5bbc4751-e8f5-478e-a59e-1246d50eea3c,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,"40dc566c-f36e-4709-91d6-69c126324dae"
true,"1024x768","2021-12-20T01:16:12+00:00",2021-12-20 01:16:12.000,,sdrn:schibsted:environment:28f3edc2-6248-46fd-a944-fe55f416ddc0,View,desktop,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:63.0.247) Gecko/20100101 Firefox/63.0.247 Site24x7,RecommendationList,Recommendation widget impression,"483155ce-f91c-4fcf-8d3e-5b901bc7bdeb"
true,"360x640","2021-12-20T01:29:38+00:00",2021-12-20 01:29:38.000,,sdrn:schibsted:environment:665c80ea-0210-4256-9e25-46636f6bf1c7,View,mobile,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4590.2 Mobile Safari/537.36 Chrome-Lighthouse,Form,Ad Insertion Form Viewed,eaf899d9-ac32-472f-b80e-33637004ae84
true,"360x640","2021-12-20T01:30:32+00:00",2021-12-20 01:30:32.000,,sdrn:schibsted:environment:b91e5f7c-21f4-4176-9bd6-cfdd6962cdc3,View,mobile,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4590.2 Mobile Safari/537.36 Chrome-Lighthouse,Form,Ad Insertion Form Viewed,d5040357-a814-409b-a277-22da051d86ce
true,"360x640","2021-12-20T01:31:19+00:00",2021-12-20 01:31:19.000,,sdrn:schibsted:environment:5b7ff80f-6c9a-40ad-80bc-3d0d958e89a7,View,mobile,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4590.2 Mobile Safari/537.36 Chrome-Lighthouse,Form,Ad Insertion Form Viewed,"00cec5fb-70ca-4f85-afa1-399167fecae0"
true,"360x640","2021-12-20T02:02:32+00:00",2021-12-20 02:02:32.000,,sdrn:schibsted:environment:c5e69835-18f6-422d-a6c0-d5b3f5d1d107,View,mobile,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4590.2 Mobile Safari/537.36 Chrome-Lighthouse,Form,Ad Insertion Form Viewed,"8cdaf974-914c-4d99-bd7b-a56fd07bd111"
true,"360x640","2021-12-20T02:03:28+00:00",2021-12-20 02:03:28.000,,sdrn:schibsted:environment:d38bb8c3-2ffe-486e-a61c-08ef24534caf,View,mobile,Mozilla/5.0 (Linux; Android 7.0; Moto G (4)) AppleWebKit/537.36 (KHTML like Gecko) Chrome/94.0.4590.2 Mobile Safari/537.36 Chrome-Lighthouse,Form,Ad Insertion Form Viewed,"027e7fdb-ec3d-4046-b74b-dda1587fb6ad"
