deviceisbot,screensize,type,devicetype,useragent,objecttype,eventname,timedelta,viewportsize
false,1125x2436,View,mobile,iOSSPTTracker1.0.1,ConversationList,Inbox view,0:00:00,Null
false,1242x2208,Click,mobile,iOSSPTTracker1.0.1,RecommendationItem,Recommendation widget clicked,0:00:00,Null
false,1080x1920,View,mobile,Android-Pulse-Tracker/8.0.1,RecommendationList,Recommendation widget impression,0:00:00,Null
false,1080x2210,Request,mobile,Android-Pulse-Tracker/8.0.1,MessageTemplate,Request template,0:00:00,Null
false,720x1406,View,mobile,Android-Pulse-Tracker/8.0.1,RecommendationList,Recommendation widget impression,0:00:00,Null
false,750x1334,Engagement,mobile,iOSSPTTracker1.0.1,Message,User click in send button reply conversation,0:00:00,Null
false,1170x2532,Report,mobile,iOSSPTTracker1.0.1,Account,Report user,0:00:00,Null
false,750x1334,View,mobile,iOSSPTTracker1.0.1,RecommendationList,Recommendation widget impression,0:00:00,Null
false,1080x2060,View,mobile,Android-Pulse-Tracker/8.0.1,RecommendationList,Recommendation widget impression,0:00:00,Null
false,1080x2268,Close,mobile,Android-Pulse-Tracker/8.0.1,Conversation,Conversation Close,0:00:00,Null
false,1125x2436,View,mobile,iOSSPTTracker1.0.1,RecommendationList,Recommendation widget impression,0:00:05,Null
false,1080x2060,View,mobile,Android-Pulse-Tracker/8.0.1,RecommendationList,Recommendation widget impression,0:00:00,Null
false,720x1448,View,mobile,Android-Pulse-Tracker/8.0.1,RecommendationList,Recommendation widget impression,0:00:00,Null
false,828x1792,View,mobile,iOSSPTTracker1.0.1,ConversationList,Inbox view,0:00:00,Null
false,1080x1920,View,mobile,Android-Pulse-Tracker/8.0.1,RecommendationList,Recommendation widget impression,0:00:00,Null
false,1080x2131,Engagement,mobile,Android-Pulse-Tracker/8.0.1,Message,User click in send button reply conversation,0:00:00,Null
false,1536x2048,View,tablet,iOSSPTTracker1.0.1,RecommendationList,Recommendation widget impression,0:00:00,Null
false,1536x2048,View,tablet,iOSSPTTracker1.0.1,RecommendationList,Recommendation widget impression,0:00:00,Null
false,1080x2131,View,mobile,Android-Pulse-Tracker/8.0.1,ConversationList,Inbox View,0:00:00,Null
false,1080x2094,Click,mobile,Android-Pulse-Tracker/8.0.1,RecommendationItem,Recommendation widget clicked,0:00:00,Null
false,1080x2158,Click,mobile,Android-Pulse-Tracker/8.0.1,RecommendationItem,Recommendation widget clicked,0:00:00,Null
false,1080x1920,View,mobile,Android-Pulse-Tracker/8.0.1,RecommendationList,Recommendation widget impression,0:00:00,Null
false,1125x2436,View,mobile,iOSSPTTracker1.0.1,RecommendationList,Recommendation widget impression,0:00:00,Null
false,1242x2208,View,mobile,iOSSPTTracker1.0.1,RecommendationList,Recommendation widget impression,0:00:06,Null
false,1080x2158,Click,mobile,Android-Pulse-Tracker/8.0.1,RecommendationItem,Recommendation widget clicked,0:00:00,Null
false,720x1448,View,mobile,Android-Pulse-Tracker/8.0.1,RecommendationList,Recommendation widget impression,0:00:00,Null
false,1125x2436,Request,mobile,iOSSPTTracker1.0.1,MessageTemplate,Request template,0:00:00,Null
false,1080x2158,View,mobile,Android-Pulse-Tracker/8.0.1,RecommendationList,Recommendation widget impression,0:00:00,Null
false,750x1334,Request,mobile,iOSSPTTracker1.0.1,MessageTemplate,Request template,0:00:09,Null
false,750x1334,View,mobile,iOSSPTTracker1.0.1,RecommendationList,Recommendation widget impression,0:00:00,Null
false,1080x2158,View,mobile,Android-Pulse-Tracker/8.0.1,RecommendationList,Recommendation widget impression,0:00:00,Null
false,1080x2060,View,mobile,Android-Pulse-Tracker/8.0.1,RecommendationList,Recommendation widget impression,0:00:00,Null
false,1080x1920,View,mobile,Android-Pulse-Tracker/8.0.1,ConversationList,Inbox View,0:00:00,Null
false,1080x2268,Request,mobile,Android-Pulse-Tracker/8.0.1,MessageTemplate,Request template,0:00:00,Null
false,1080x2120,Request,mobile,Android-Pulse-Tracker/8.0.1,MessageTemplate,Request template,0:00:00,Null
false,960x2079,Request,mobile,iOSSPTTracker1.0.1,MessageTemplate,Request template,0:00:00,Null
false,1080x2131,Request,mobile,Android-Pulse-Tracker/8.0.1,MessageTemplate,Request template,0:00:00,Null
false,1080x2060,View,mobile,Android-Pulse-Tracker/8.0.1,RecommendationList,Recommendation widget impression,0:00:00,Null
false,750x1334,View,mobile,iOSSPTTracker1.0.1,RecommendationList,Recommendation widget impression,0:00:00,Null
false,1080x2120,View,mobile,Android-Pulse-Tracker/8.0.1,UIElement,Show integration input trigger,0:00:00,Null
false,1080x2268,View,mobile,Android-Pulse-Tracker/8.0.1,Conversation,Conversation View,0:00:00,Null
false,1170x2532,View,mobile,iOSSPTTracker1.0.1,ConversationList,Inbox view,0:00:00,Null
false,1080x2131,Request,mobile,Android-Pulse-Tracker/8.0.1,MessageTemplate,Request template,0:00:00,Null
false,1170x2532,View,mobile,iOSSPTTracker1.0.1,ConversationList,Inbox view,0:00:00,Null
false,1080x2110,Click,mobile,Android-Pulse-Tracker/8.0.1,UIElement,modifica o aggiunta elementi al messaggio,1:00:53,Null
false,750x1334,View,mobile,iOSSPTTracker1.0.1,RecommendationList,Recommendation widget impression,0:00:00,Null
false,1080x2131,View,mobile,Android-Pulse-Tracker/8.0.1,Conversation,Conversation View,0:00:00,Null
