Source,Target,Time
871733353,4446218237,2021-04-10 19:24:24
1100649189850169344,305137224,2021-04-10 19:24:24
1095194551881515008,20545055,2021-04-10 19:24:25
31252694,23184067,2021-04-10 19:24:26
879200561828044800,172511244,2021-04-10 19:24:27
25931787,1377921740718944262,2021-04-10 19:24:28
61524466,1344536893,2021-04-10 19:24:28
1105781477118304257,1159149341505937408,2021-04-10 19:24:28
1267056768921661441,47273818,2021-04-10 19:24:29
1380804395718176770,2597666894,2021-04-10 19:24:29
774210444961521668,389313566,2021-04-10 19:24:30
1188640445536067584,1308273303375745026,2021-04-10 19:24:33
4637322869,840569607903629313,2021-04-10 19:24:35
1372364134470328320,289420613,2021-04-10 19:25:16
493416891,19802879,2021-04-10 19:25:18
261895053,632816681,2021-04-10 19:25:19
1143816391381983233,615327247,2021-04-10 19:25:20
1361451427453947907,1007366903139061761,2021-04-10 19:25:53
1256804928976089093,1311117338083811330,2021-04-10 19:25:59
929471775246753792,155775712,2021-04-10 19:26:00
250768369,93295809,2021-04-10 19:26:04
2605445976,159230211,2021-04-10 19:26:05
1367582345281212417,20677566,2021-04-10 19:26:45
572302669,731167584,2021-04-10 19:26:48
30101545,1321927396971421701,2021-04-10 19:26:51
876437732,520148825,2021-04-10 19:26:52
4692145376,159230211,2021-04-10 19:26:53
344594146,144274618,2021-04-10 19:26:57
1088290769746698240,926868226654404608,2021-04-10 19:27:02
1283085280950419457,911919769493790720,2021-04-10 19:27:20
877382837472641025,926868226654404608,2021-04-10 19:27:28
1123306224,1295526279194828800,2021-04-10 19:27:31
241840742,911919769493790720,2021-04-10 19:27:38
15808660,1004671441,2021-04-10 19:27:46
124290595,4048852873,2021-04-10 19:27:54
1591850192,4048852873,2021-04-10 19:27:55
2796688187,4048852873,2021-04-10 19:28:08
2782674324,1144057621739122688,2021-04-10 19:28:09
760294953587277824,911919769493790720,2021-04-10 19:28:15
1237090678129053703,1911515606,2021-04-10 19:28:17
1297013057353326597,4048852873,2021-04-10 19:28:21
838953456,911919769493790720,2021-04-10 19:28:25
1352460202482651136,159230211,2021-04-10 19:28:26
177566223,1321927396971421701,2021-04-10 19:28:27
789133592257593344,1321927396971421701,2021-04-10 19:28:32
1283843791997280256,1291754951547314177,2021-04-10 19:28:40
329565936,1378317765522518016,2021-04-10 19:28:42
790915455976411136,4048852873,2021-04-10 19:28:46
706209304378896384,479724576,2021-04-10 19:28:48
796231990554988544,48325671,2021-04-10 19:28:51
1279750596317327360,159230211,2021-04-10 19:28:55
796231990554988544,767788995962998784,2021-04-10 19:28:55
915272579794878464,159230211,2021-04-10 19:28:57
771096098052018176,731167584,2021-04-10 19:28:59
253804995,911919769493790720,2021-04-10 19:29:12
1040670085898153989,1911515606,2021-04-10 19:29:19
815695319497396225,4048852873,2021-04-10 19:29:26
2740222809,1321927396971421701,2021-04-10 19:29:28
930775334944780288,1911515606,2021-04-10 19:29:29
1495627645,159230211,2021-04-10 19:29:44
21272880,971206070940119041,2021-04-10 19:30:04
1165342293567725573,159230211,2021-04-10 19:30:07
1043998674072858624,259123499,2021-04-10 19:30:15
1347306552080916482,1294649677372153856,2021-04-10 19:30:26
2307381696,1326133795204988934,2021-04-10 19:30:35
2632829667,159230211,2021-04-10 19:30:40
3707315835,4048852873,2021-04-10 19:30:48
1668782784,911919769493790720,2021-04-10 19:30:51
873816992247042048,1911515606,2021-04-10 19:30:52
1058530204388352003,159230211,2021-04-10 19:30:52
