Id,Label,Followers,Lang
871733353,Mountain_04,243,None
4446218237,trisketched,49631,None
1100649189850169344,LauraSh04038989,294,None
305137224,AdkinsKate,2288,None
1095194551881515008,Thina_Mathupha,4825,None
20545055,JoelOsteen,10076480,None
31252694,felipe_melo,1003,None
23184067,Aller_MD,6684,None
879200561828044800,ResistTheCoup45,201,None
172511244,T_S_P_O_O_K_Y,98223,None
25931787,werrylettuce,1522,None
1377921740718944262,DailyExposeNews,4721,None
61524466,shanmugam_18,6730,None
1344536893,Aneela_7,47292,None
1105781477118304257,IndiaUnleashed_,2306,None
1159149341505937408,Kaala_Nag,2056,None
1267056768921661441,fomiatti_lyne,69,None
47273818,CatherineKingMP,30320,None
1380804395718176770,Prajakt37237618,3,None
2597666894,CMOMaharashtra,2549173,None
774210444961521668,massAftab,154,None
389313566,FaheemYounus,208580,None
1188640445536067584,Yanoji3,329,None
1308273303375745026,TurtlesFatherG,444,None
4637322869,swklz,140,None
840569607903629313,agustranda,42068,None
1372364134470328320,sally01571973,13,None
289420613,naomirwolf,122834,None
493416891,EdoXD96,141,None
19802879,NASAJPL,3271406,None
261895053,lucamobu,1391,None
632816681,dfviasusp,780,None
1143816391381983233,Udeme_Ubah,3663,None
615327247,gbemy01,19362,None
1361451427453947907,JohnHayes4Pa5,2466,None
1007366903139061761,kernaghanscott5,8399,None
1256804928976089093,CrustyRusty8it,1084,None
1311117338083811330,NYLockdown,1395,None
929471775246753792,jbm5513,621,None
155775712,mliz77,5205,None
250768369,craigg44,196,None
93295809,JamesGRickards,177051,None
2605445976,theironicview,6701,None
159230211,tammytabby,15454,None
1367582345281212417,Aws72038948,131,None
20677566,aaronc_smith,399,None
572302669,CeroTerabyte,179,None
731167584,RonBrownstein,103874,None
30101545,ladyndewgreen88,473,None
1321927396971421701,SusanStJames3_,26884,None
876437732,Prisblader,227,None
520148825,animaeme,5257,None
4692145376,Rally4Trump,765,None
344594146,Analystico87,165,None
144274618,economics,223992,None
1088290769746698240,MStoddard_LGM,3596,None
926868226654404608,Ms_Codio,11288,None
1283085280950419457,carolynsx600,16,None
911919769493790720,Sundae_Gurl,50353,None
877382837472641025,TerrellHarness,150,None
1123306224,BritniBaglien,3,None
1295526279194828800,ParikPatelCFA,249701,None
241840742,RubinnJ,87,None
15808660,mbolch,11084,None
1004671441,Istillwantapony,1363,None
124290595,yardonna,1784,None
4048852873,_ROB_29,26285,None
1591850192,CAParalegalServ,419,None
2796688187,mizknol,497,None
2782674324,aidanrf98,112,None
1144057621739122688,Jawn_Hancock,6596,None
760294953587277824,shorrocksalot1,392,None
1237090678129053703,MestizoLeftist,4140,None
1911515606,jkass99,21610,None
1297013057353326597,High_Num,165,None
838953456,BobbyLWesson,20652,None
1352460202482651136,soldieruphorror,216,None
177566223,SirBentz,306,None
789133592257593344,BrianKirkland5,10739,None
1283843791997280256,Nicholacrypto,735,None
1291754951547314177,XRPeuphoria_,7228,None
329565936,Lanner4BSB,931,None
1378317765522518016,mike14024048,3,None
790915455976411136,TTysonToni1,3744,None
706209304378896384,teambernie27001,6397,None
479724576,WalkerBragman,48649,None
796231990554988544,ScottyMath22,10117,None
48325671,chipfranklin,211230,None
1279750596317327360,JUSTICI42414733,747,None
767788995962998784,ReallyAmerican1,314301,None
915272579794878464,Michaeljbush2,197,None
771096098052018176,Tommy8668,337,None
253804995,bevwood47,1215,None
1040670085898153989,boringthot,51,None
815695319497396225,Goatman62,4075,None
2740222809,CHemmeke,145,None
930775334944780288,Togekisses34,67,None
1495627645,dizzidi67,2596,None
21272880,DeaFou,440,None
971206070940119041,_EthanGrey,17373,None
1165342293567725573,mariachi_nacho5,1539,None
1043998674072858624,AlexCCutie,314,None
259123499,AnIllicitWriter,23346,None
1347306552080916482,TerriersVu,685,None
1294649677372153856,HereToWatchThe1,3468,None
