Source,Target,Timestamp,Weight
DaveTheBrave,145422,2021-01-14,0.5
Billmckern,Politicsfan4,2021-01-13,8
AlsoWukai,FeydHuxtable,2021-01-23,8
ImYourTurboLover,145422,2021-01-28,0.5
Ganesha811,Bergeronpp,2021-01-19,8
HAL333,Suffusion of Yellow,2021-01-26,8
Yeungkahchun,145422,2021-01-25,0.5
EditQwerty,145422,2021-01-20,0.5
Politicsfan4,AnomieBOT,2021-01-13,8
LuanLoud,145422,2021-01-20,0.5
KidAd,Tomasz-Asiana-Ostrowski-2004,2021-01-13,2
BizarreLoveTriangle,145422,2021-01-20,0.5
RedHotPear,Iamreallygoodatcheckers,2021-01-23,8
Citation bot,145422,2021-03-06,0.5
TobiasRagg2001,Super Cyclonic Storm Corona,2021-01-20,8
Woko Sapien,145422,2021-01-21,0.5
AManWithNoPlan,145422,2021-03-09,0.5
Diopic,145422,2021-01-26,0.5
DividedFrame,145422,2021-01-24,0.5
RedHotPear,Tpdwkouaa,2021-03-13,8
FeydHuxtable,145422,2021-01-23,0.5
Interstellarity,145422,2021-01-26,0.5
Surtsicna,Des Vallee,2021-01-07,8
Billmckern,Tomasz-Asiana-Ostrowski-2004,2021-01-14,2
DividedFrame,Davidgoodheart,2021-01-27,8
BennTheResearcher,145422,2021-01-14,0.5
Surtsicna,Nick.mon,2021-01-08,8
Surtsicna,Felix558,2021-01-30,8
Indy beetle,Angelic Wraith,2021-01-20,8
GoodDay,TobiasRagg2001,2021-02-02,4
Ganesha811,Tomasz-Asiana-Ostrowski-2004,2021-03-18,2
Felix558,145422,2021-01-19,0.5
Frodar,145422,2021-01-24,0.5
嘉傑,145422,2021-02-20,0.5
Politicsfan4,145422,2021-01-13,0.5
M. Armando,145422,2021-01-09,0.5
DoulosBen,145422,2021-01-20,0.5
Andrewl1995,145422,2021-02-04,0.5
BennTheResearcher,145422,2021-03-03,0.5
Aquila89,145422,2021-03-31,0.5
AlsoWukai,145422,2021-02-06,0.5
Starship.paint,145422,2021-04-03,0.5
Surtsicna,145422,2021-01-09,0.5
GoodDay,Willform,2021-02-13,8
Politicsfan4,Surtsicna,2021-01-14,8
Eccekevin,Pennsylvania2,2021-01-21,8
3Kingdoms,145422,2021-02-05,0.5
HyettsTheGamer2,145422,2021-01-17,0.5
JohnFromPinckney,Kudzu1,2021-03-13,8
Thanoscar21,Politicsfan4,2021-01-20,1
ProcrastinatingReader,145422,2021-02-10,0.5
RedHotPear,145422,2021-01-23,0.5
HAL333,Monkbot,2021-01-24,8
ProcrastinatingReader,B64,2021-01-23,8
Surtsicna,Politicsfan4,2021-01-15,8
Politicsfan4,145422,2021-02-12,0.5
GreenC bot,145422,2021-03-02,0.5
JLo-Watson,145422,2021-01-20,0.5
Onghai1929,Mirokado,2021-01-24,8
M. Armando,145422,2021-02-18,0.5
ProcrastinatingReader,Politicsfan4,2021-02-09,4
Danloud,145422,2021-03-20,0.5
Quaerens-veritatem,145422,2021-01-21,0.5
M. Armando,145422,2021-01-08,0.5
5 albert square,Andrew nyr,2021-01-20,8
Felix558,145422,2021-01-23,0.5
Onghai1929,Hairy Dude,2021-02-27,8
Thanoscar21,Mirokado,2021-01-20,1
Sayden,145422,2021-01-22,0.5
Sdkb,145422,2021-01-10,0.5
Surtsicna,M. Armando,2021-01-15,8
Reddevil0728,145422,2021-01-24,0.5
Vrrajkum,Felix558,2021-01-27,8
The One I Left,Tomasz-Asiana-Ostrowski-2004,2021-02-10,2
Suffusion of Yellow,145422,2021-01-20,0.5
Willbb234,145422,2021-02-24,0.5
AManWithNoPlan,145422,2021-03-19,0.5
Ganesha811,145422,2021-03-14,0.5
Thanoscar21,145422,2021-01-20,0.5
SNUGGUMS,145422,2021-01-30,0.5
Jokullmusic,145422,2021-01-20,0.5
Wester,Mirokado,2021-01-21,8
KidAd,145422,2021-01-13,0.5
Srodgers1701,145422,2021-01-20,0.5
Eccekevin,145422,2021-03-13,0.5
Hulged,145422,2021-01-20,0.5
Onghai1929,Tomasz-Asiana-Ostrowski-2004,2021-01-24,2
Cards84664,145422,2021-01-20,0.5
QuestFour,145422,2021-01-24,0.5
M. Armando,145422,2021-01-07,0.5
Ciaran.london,Editorforwiki15,2021-01-20,8
Javert2113,Thanoscar21,2021-01-20,8
AndriiDr,Mirokado,2021-01-20,8
Surtsicna,145422,2021-01-07,0.5
QuestFour,145422,2021-01-21,0.5
Lz2023,145422,2021-01-20,0.5
Felix558,The One I Left,2021-02-10,8
Paintspot,145422,2021-01-20,0.5
Wester,Tomasz-Asiana-Ostrowski-2004,2021-01-21,2
Thanoscar21,145422,2021-01-24,0.5
DaveTheBrave,145422,2021-02-06,0.5
Suffusion of Yellow,145422,2021-01-21,0.5
Quaerens-veritatem,EEng,2021-01-21,8
Politicsfan4,145422,2021-01-09,0.5
GoodDay,Politicsfan4,2021-02-10,2
Thanoscar21,145422,2021-01-21,0.5
ScienticGuy,145422,2021-03-07,0.5
Gen. Quon,145422,2021-01-21,0.5
Cpotisch,145422,2021-01-20,0.5
GoodDay,145422,2021-01-22,0.5
OgamD218,145422,2021-03-08,0.5
ChipotleHater,145422,2021-03-22,0.5
Pseud 14,145422,2021-02-08,0.5
Ganesha811,CaliIndie,2021-03-22,8
Go Phightins!,ChipotleHater,2021-03-23,8
KidAd,J 1982,2021-01-24,8
EEng,Srodgers1701,2021-01-20,8
EEng,DanJWilde,2021-01-20,8
AleatoryPonderings,145422,2021-01-28,0.5
ValarianB,Andrewl1995,2021-02-04,8
ProcrastinatingReader,M. Armando,2021-02-08,8
Srodgers1701,145422,2021-01-21,0.5
Woko Sapien,145422,2021-02-16,0.5
AbelAndCain,145422,2021-01-20,0.5
Javert2113,145422,2021-01-20,0.5
Muboshgu,Iamreallygoodatcheckers,2021-01-26,8
Go Phightins!,Tomasz-Asiana-Ostrowski-2004,2021-03-13,2
ProcrastinatingReader,145422,2021-02-08,0.5
Ganesha811,AlsoWukai,2021-01-20,8
ReferenceMan,DividedFrame,2021-02-02,8
RedHotPear,145422,2021-03-13,0.5
Surtsicna,KidAd,2021-01-30,2
Javert2113,RedPatchBoy,2021-01-20,2
Cpotisch,Thanoscar21,2021-01-20,8
Cpotisch,Ciaran.london,2021-01-20,8
AndriiDr,Tomasz-Asiana-Ostrowski-2004,2021-01-20,2
Richwales,145422,2021-01-21,0.5
1857a,145422,2021-01-20,0.5
White whirlwind,145422,2021-01-20,0.5
Ganesha811,Tomasz-Asiana-Ostrowski-2004,2021-03-13,2
Gen. Quon,Hulged,2021-01-21,8
HappyWanderer15,Elijahandskip,2021-01-22,8
RedHotPear,ImYourTurboLover,2021-01-29,8
ProcrastinatingReader,B64,2021-02-07,8
Wikipageedittor099,145422,2021-01-20,0.5
EEng,Andrew nyr,2021-01-21,1
Iamreallygoodatcheckers,145422,2021-01-26,0.5
TheSouthernIrishman,145422,2021-01-20,0.5
Woko Sapien,Mirokado,2021-01-25,8
Andrew nyr,145422,2021-01-16,0.5
HAL333,Mirokado,2021-01-26,8
Bergeronpp,145422,2021-01-07,0.5
Brucejoel99,145422,2021-03-13,0.5
Thanoscar21,RedPatchBoy,2021-01-20,4
Airbornemihir,Paintspot,2021-01-03,8
Thanoscar21,Cpotisch,2021-01-20,4
Johnjoshua1,145422,2021-03-25,0.5
AbelAndCain,Surtsicna,2021-01-20,8
Cpotisch,145422,2021-01-21,0.5
HAL333,Lent,2021-01-24,8
Ciaran.london,145422,2021-01-20,0.5
Kind Tennis Fan,145422,2021-01-29,0.5
Oeoi,145422,2021-01-20,0.5
EEng,Angelic Wraith,2021-01-20,8
Ganesha811,ProhibitOnions,2021-03-18,8
CaliIndie,Ganesha811,2021-03-22,4
The Professor (Time Lord),145422,2021-01-21,0.5
AlsoWukai,Brucejoel99,2021-03-14,8
Starkenborgher,145422,2021-02-17,0.5
Onghai1929,145422,2021-01-27,0.5
Woko Sapien,Tomasz-Asiana-Ostrowski-2004,2021-01-25,2
BennTheResearcher,Tomasz-Asiana-Ostrowski-2004,2021-03-03,2
HAL333,Tomasz-Asiana-Ostrowski-2004,2021-01-26,2
Popcornfud,Mirokado,2021-01-22,8
TomCat4680,145422,2021-01-23,0.5
RedHotPear,Eccekevin,2021-01-23,8
Srodgers1701,Andrew nyr,2021-02-07,8
EEng,145422,2021-01-20,0.5
Felix558,KidAd,2021-01-29,4
RedHotPear,Davidgoodheart,2021-01-20,8
Sahaib3005,145422,2021-01-20,0.5
Onghai1929,145422,2021-01-24,0.5
BennTheResearcher,Mirokado,2021-03-03,8
ChipotleHater,145422,2021-03-15,0.5
B64,Thanoscar21,2021-01-22,8
QuestFour,145422,2021-01-23,0.5
Surtsicna,Billmckern,2021-01-15,8
Dyaluk08,Thanoscar21,2021-01-22,8
Onetwothreeip,Mirokado,2021-01-21,8
RedHotPear,EdgarCabreraFariña,2021-01-23,8
ProhibitOnions,145422,2021-02-27,0.5
Pennsylvania2,145422,2021-01-21,0.5
Raja1011,145422,2021-02-20,0.5
AlsoWukai,145422,2021-02-10,0.5
RedHotPear,Brucejoel99,2021-03-13,8
Politicsfan4,145422,2021-01-26,0.5
Terry g. bishop,145422,2021-01-24,0.5
HappyWanderer15,145422,2021-01-29,0.5
KidAd,145422,2021-01-08,0.5
Ganesha811,Mirokado,2021-03-14,8
Sky Harbor,Editorforwiki15,2021-01-20,8
AnomieBOT,145422,2021-01-13,0.5
BennTheResearcher,145422,2021-03-04,0.5
Normchou,145422,2021-03-22,0.5
Onetwothreeip,Tomasz-Asiana-Ostrowski-2004,2021-01-21,2
EEng,145422,2021-01-21,0.5
5 albert square,145422,2021-01-20,0.5
AlsoWukai,The One I Left,2021-02-10,8
Nirvanaoreilly,145422,2021-01-22,0.5
Slatersteven,Srodgers1701,2021-03-05,8
GoodDay,Paintspot,2021-01-21,8
Aoi,Ganesha811,2021-03-23,2
Surtsicna,M. Armando,2021-01-08,8
Ganesha811,HAL333,2021-03-14,8
Eyer,145422,2021-01-23,0.5
B64,AbelAndCain,2021-01-22,2
Sky Harbor,Pennsylvania2,2021-01-20,8
Billmckern,145422,2021-01-14,0.5
Davidgoodheart,145422,2021-01-20,0.5
QuietHere,Bergeronpp,2021-01-16,8
Ganesha811,145422,2021-03-18,0.5
Srodgers1701,145422,2021-03-26,0.5
HAL333,Prinsgezinde,2021-01-21,8
EEng,Psherman122,2021-01-20,8
Popcornfud,Tomasz-Asiana-Ostrowski-2004,2021-01-22,2
Psherman122,145422,2021-01-20,0.5
Toddst1,145422,2021-01-20,0.5
GoodDay,145422,2021-01-18,0.5
Felix558,145422,2021-01-29,0.5
Surtsicna,AnomieBOT,2021-01-15,8
The One I Left,145422,2021-02-10,0.5
Starship.paint,145422,2021-03-23,0.5
CaliIndie,145422,2021-03-27,0.5
EEng,Felix558,2021-01-20,8
EEng,White whirlwind,2021-01-21,8
RedHotPear,Paintspot,2021-01-23,8
Srodgers1701,145422,2021-01-18,0.5
J 1982,145422,2021-01-23,0.5
Samtondiaz,145422,2021-01-20,0.5
ReferenceMan,HAL333,2021-02-02,8
Surtsicna,M. Armando,2021-01-07,8
M. Armando,145422,2021-01-11,0.5
M. Armando,145422,2021-02-08,0.5
Surtsicna,Mirokado,2021-01-07,8
Mitchellhobbs,145422,2021-02-11,0.5
Politicsfan4,145422,2021-02-10,0.5
Prinsgezinde,GoodDay,2021-01-21,4
Hildeoc,145422,2021-01-21,0.5
Ganesha811,Seven Pandas,2021-03-13,8
Ganesha811,Tomasz-Asiana-Ostrowski-2004,2021-03-14,2
Willbb234,嘉傑,2021-02-24,8
RedHotPear,ReferenceMan,2021-03-14,8
Nick.mon,M. Armando,2021-01-08,8
GreenC bot,HAL333,2021-03-02,8
EEng,5 albert square,2021-01-21,4
GoodDay,Politicsfan4,2021-02-10,8
Bergeronpp,145422,2021-01-18,0.5
Popcornfud,B64,2021-01-22,8
GoodDay,145422,2021-02-08,0.5
Thomascampbell123,145422,2021-03-03,0.5
RedHotPear,HappyWanderer15,2021-03-14,8
Ganesha811,Mirokado,2021-01-20,8
RedHotPear,Yeungkahchun,2021-03-15,8
X4n6,145422,2021-01-26,0.5
AbelAndCain,Ganesha811,2021-01-20,8
EdgarCabreraFariña,Iamreallygoodatcheckers,2021-01-21,8
B64,Politicsfan4,2021-01-22,8
HAL333,145422,2021-02-04,0.5
HAL333,GoodDay,2021-01-21,2
Wodgester,145422,2021-01-21,0.5
GoodDay,EEng,2021-01-22,8
Sky Harbor,145422,2021-01-20,0.5
Trillfendi,145422,2021-03-05,0.5
EEng,Eccekevin,2021-01-21,8
Bernspeed,145422,2021-04-02,0.5
HAL333,Srodgers1701,2021-01-24,8
White whirlwind,Tomasz-Asiana-Ostrowski-2004,2021-01-20,2
HAL333,Mirokado,2021-01-24,8
B64,Mirokado,2021-01-22,8
INeedSupport,Saidur Mursalin,2021-03-21,8
Hulged,Politicsfan4,2021-01-20,8
Iamreallygoodatcheckers,145422,2021-01-21,0.5
HAL333,Mirokado,2021-01-21,8
White whirlwind,Mirokado,2021-01-20,8
ProcrastinatingReader,145422,2021-02-07,0.5
AlsoWukai,Mirokado,2021-01-23,8
420Prince1012,145422,2021-01-20,0.5
RedPatchBoy,145422,2021-01-20,0.5
Eccekevin,145422,2021-01-28,0.5
ReferenceMan,Mirokado,2021-02-02,8
Juno,145422,2021-03-19,0.5
ProcrastinatingReader,Politicsfan4,2021-02-09,8
Srodgers1701,145422,2021-03-04,0.5
Politicsfan4,145422,2021-01-20,0.5
Hulged,Lovin'Politics,2021-03-20,8
Fep1970,145422,2021-01-21,0.5
Politicsfan4,GoodDay,2021-02-09,8
Citation bot,145422,2021-02-11,0.5
HAL333,Tomasz-Asiana-Ostrowski-2004,2021-01-24,2
B64,Tomasz-Asiana-Ostrowski-2004,2021-01-22,2
M. Armando,145422,2021-02-19,0.5
Tartan357,Johnjoshua1,2021-03-26,8
HAL333,Tomasz-Asiana-Ostrowski-2004,2021-01-21,2
Go Phightins!,145422,2021-03-13,0.5
Ganesha811,Tomasz-Asiana-Ostrowski-2004,2021-01-20,2
AlsoWukai,Tomasz-Asiana-Ostrowski-2004,2021-01-23,2
Politicsfan4,AnomieBOT,2021-01-14,8
QuestFour,Wodgester,2021-01-21,8
Npthura,145422,2021-01-25,0.5
Politicsfan4,Thanoscar21,2021-01-20,8
ReferenceMan,Felix558,2021-02-02,8
HAL333,145422,2021-02-05,0.5
CaliIndie,145422,2021-03-20,0.5
Thanoscar21,AbelAndCain,2021-01-20,4
Kind Tennis Fan,HAL333,2021-01-29,8
Wodgester,Suffusion of Yellow,2021-01-21,8
Ganesha811,145422,2021-03-13,0.5
Surtsicna,145422,2021-01-13,0.5
Ganesha811,Mirokado,2021-03-18,8
Citation bot,145422,2021-03-09,0.5
Goodreg3,145422,2021-01-23,0.5
Thanoscar21,145422,2021-03-07,0.5
AlsoWukai,Ganesha811,2021-01-23,8
Pennsylvania2,Sky Harbor,2021-01-20,4
Mitchellhobbs,Felix558,2021-02-11,8
EEng,Mirokado,2021-01-21,8
Nick.mon,145422,2021-01-08,0.5
Cpotisch,Oeoi,2021-01-20,8
MrloniBoo,145422,2021-03-03,0.5
Lovin'Politics,145422,2021-03-03,0.5
GoodDay,Srodgers1701,2021-01-18,8
Maxeto0910,145422,2021-01-27,0.5
FunnyMath,145422,2021-01-13,0.5
RedPatchBoy,Mirokado,2021-01-20,8
AlsoWukai,145422,2021-03-14,0.5
Ganesha811,HAL333,2021-03-18,8
Wodgester,145422,2021-01-23,0.5
KidAd,Npthura,2021-01-25,8
Politicsfan4,145422,2021-01-14,0.5
Basil the Bat Lord,145422,2021-01-21,0.5
Elizium23,145422,2021-01-20,0.5
Woko Sapien,145422,2021-01-25,0.5
Lent,145422,2021-01-08,0.5
AlsoWukai,145422,2021-03-25,0.5
AnomieBOT,Surtsicna,2021-01-13,8
EEng,Tomasz-Asiana-Ostrowski-2004,2021-01-21,2
RuleTheWiki,145422,2021-01-20,0.5
HAL333,145422,2021-01-26,0.5
Tartan357,Richwales,2021-01-21,8
DanJWilde,145422,2021-01-20,0.5
ReferenceMan,Tomasz-Asiana-Ostrowski-2004,2021-02-02,2
HappyWanderer15,145422,2021-01-31,0.5
AbelAndCain,Politicsfan4,2021-01-20,8
Thanoscar21,Oeoi,2021-01-20,1
RedPatchBoy,Tomasz-Asiana-Ostrowski-2004,2021-01-20,2
