Source,Target,Timestamp,Weight
Kim Leung,Gleeanon409,2021-03-31,8
Brojam,60292990,2021-03-31,0.5
BrandNew Jim Zhang,60292990,2021-03-26,0.5
Tony1,Kim Leung,2021-01-26,8
Tony1,60292990,2021-01-26,0.5
Purplehaze45,ScottStephenJones,2021-02-08,8
Purplehaze45,Starcheerspeaksnewslostwars,2021-02-08,8
Zartley,60292990,2021-03-07,0.5
Lowryder71,60292990,2021-03-26,0.5
WHOISRED?,60292990,2021-02-12,0.5
OiBruvYouAreNibba,60292990,2021-03-07,0.5
Lrt000,Ss112,2021-03-05,8
Heroeswithmetaphors,60292990,2021-01-23,0.5
Lk95,60292990,2021-01-02,0.5
SomerIsland,60292990,2021-03-31,0.5
Annoyedhumanoid,60292990,2021-03-26,0.5
Rangel Carregosa,60292990,2021-03-09,0.5
Kim Leung,60292990,2021-03-31,0.5
Lrt000,TF0771,2021-03-05,8
Penguino35,60292990,2021-04-02,0.5
Lrt000,Joshanoai,2021-03-05,8
Castncoot,60292990,2021-03-30,0.5
Purplehaze45,60292990,2021-02-08,0.5
SimonLagann,60292990,2021-03-29,0.5
Lk95,60292990,2021-04-02,0.5
Ss112,60292990,2021-01-05,0.5
Rangel Carregosa,60292990,2021-03-27,0.5
AshMusique,60292990,2021-02-11,0.5
Lrt000,Starcheerspeaksnewslostwars,2021-03-05,8
Lrt000,60292990,2021-03-05,0.5
Ss112,60292990,2021-01-10,0.5
JDDJS,60292990,2021-01-13,0.5
L37Sam,60292990,2021-03-26,0.5
Captainamerica099,60292990,2021-03-29,0.5
Brojam,L37Sam,2021-03-31,8
Stussll,60292990,2021-03-30,0.5
Rangel Carregosa,Annoyedhumanoid,2021-03-27,8
Brojam,Wesborden,2021-03-31,8
Mypetitebijou,60292990,2021-03-30,0.5
CountyCountry,60292990,2021-03-26,0.5
Ss112,60292990,2021-04-02,0.5
Wesborden,60292990,2021-03-29,0.5
Jackedano,60292990,2021-03-17,0.5
Doggy54321,AshMusique,2021-03-03,8
Ss112,Starcheerspeaksnewslostwars,2021-04-02,8
