Source,Target,Timestamp,Weight
Sampajanna,11214029,2021-02-01,0.5
Jontel,11214029,2021-02-08,0.5
Kind Tennis Fan,Gaia Octavia Agrippa,2021-03-11,8
Philip Cross,Crystalfile,2021-03-08,8
Sampajanna,11214029,2021-02-19,0.5
RMCD bot,11214029,2021-02-08,0.5
Alanscottwalker,11214029,2021-02-11,0.5
Alanscottwalker,Ivanvector,2021-02-11,8
Bettydaisies,11214029,2021-03-03,0.5
Alanscottwalker,11214029,2021-02-22,0.5
Philip Cross,El C,2021-03-08,8
Iranazad,11214029,2021-03-12,0.5
Sampajanna,Keivan.f,2021-03-18,8
Crystalfile,11214029,2021-03-02,0.5
Aquila89,11214029,2021-03-03,0.5
Robin Patterson,11214029,2021-03-10,0.5
Keivan.f,11214029,2021-03-05,0.5
Bettydaisies,11214029,2021-01-28,0.5
DragonFederal,11214029,2021-01-04,0.5
Sampajanna,No Swan So Fine,2021-03-05,8
Britmax,11214029,2021-03-04,0.5
Peter Ormond,11214029,2021-02-15,0.5
Sampajanna,11214029,2021-03-06,0.5
Sampajanna,2600:8805:2003:B00:6177:D8B8:5D77:570,2021-02-02,2
Alanscottwalker,Crystalfile,2021-03-04,8
DrKay,Keivan.f,2021-03-03,8
Keivan.f,11214029,2021-03-02,0.5
DrKay,11214029,2021-03-04,0.5
Keivan.f,Sampajanna,2021-03-02,8
Suge13,11214029,2021-02-01,0.5
Sampajanna,11214029,2021-01-13,0.5
Rfl0216,11214029,2021-02-14,0.5
DrKay,Iranazad,2021-03-12,8
Sampajanna,Moonraker,2021-02-16,8
DrKay,11214029,2021-02-20,0.5
Bettydaisies,11214029,2021-03-02,0.5
Glenmeister,11214029,2021-02-14,0.5
Sampajanna,Bettydaisies,2021-03-03,8
Alanscottwalker,Bettydaisies,2021-03-04,8
Keivan.f,Editz.123,2021-03-08,8
Sampajanna,El C,2021-02-02,8
Alanscottwalker,11214029,2021-02-14,0.5
Sampajanna,Jontel,2021-02-11,8
Baeleigh,11214029,2021-02-20,0.5
Keivan.f,DrKay,2021-03-04,8
DrKay,Keivan.f,2021-03-08,8
DrKay,11214029,2021-03-12,0.5
Kind Tennis Fan,Bettydaisies,2021-03-08,8
DrKay,Jeremy Hulber,2021-02-22,8
Philip Cross,11214029,2021-03-08,0.5
Brainulator9,11214029,2021-03-09,0.5
Gjwang0,11214029,2021-03-08,0.5
Keivan.f,11214029,2021-03-08,0.5
Gaia Octavia Agrippa,11214029,2021-03-10,0.5
DrKay,11214029,2021-03-03,0.5
Bettydaisies,11214029,2021-01-06,0.5
Philip Cross,2600:8805:2003:B00:6177:D8B8:5D77:570,2021-03-08,2
Bettydaisies,Keivan.f,2021-03-03,8
WhisperToMe,11214029,2021-03-10,0.5
Zvikorn,11214029,2021-03-13,0.5
Alanscottwalker,11214029,2021-03-10,0.5
DrKay,Alanscottwalker,2021-03-12,8
No Swan So Fine,2600:8805:2003:B00:6177:D8B8:5D77:570,2021-03-04,2
Alanscottwalker,11214029,2021-03-04,0.5
Kind Tennis Fan,2600:8805:2003:B00:6177:D8B8:5D77:570,2021-03-11,2
Sampajanna,Textorus,2021-02-02,8
Robidy,11214029,2021-02-14,0.5
DrKay,11214029,2021-03-05,0.5
DrKay,11214029,2021-03-08,0.5
Sampajanna,2600:8805:2003:B00:6177:D8B8:5D77:570,2021-02-06,2
DrKay,11214029,2021-02-15,0.5
Rutherford 23,11214029,2021-03-08,0.5
Sampajanna,2600:8805:2003:B00:6177:D8B8:5D77:570,2021-01-28,2
